undefined

1 atom types

1728 atoms

0.000000 100.000000 xlo xhi
0.000000 100.000000 ylo yhi
0.000000 100.000000 zlo zhi

Masses

1 32.000000 # MeOH

Atoms

264 264 1  77.231003 43.510712 45.035595
265 265 1  74.100327 42.542873 53.983284
266 266 1  29.031912 53.851791 63.012234
267 267 1  78.165344 60.977009 51.577415
268 268 1  28.300016 42.879959 33.504028
269 269 1  64.026230 56.404602 61.978596
270 270 1  71.277199 67.361885 34.675766
271 271 1  40.076668 38.774811 32.749550
272 272 1  39.852600 69.001167 60.436672
273 273 1  59.230549 58.171391 54.322567
274 274 1  41.934170 52.769272 65.143944
275 275 1  40.720688 56.382996 31.647795
276 276 1  60.565315 51.772381 61.880661
277 277 1  52.546516 23.579716 67.889244
278 278 1  47.503395 41.255035 65.662735
279 279 1  54.309788 54.074402 61.930447
280 280 1  77.581818 52.229015 57.138844
281 281 1  43.070793 34.722816 50.952488
282 282 1  25.884842 37.685051 47.625687
283 283 1  64.166199 34.481953 31.758305
284 284 1  67.716743 70.125397 57.500065
285 285 1  35.447010 64.415009 52.353779
286 286 1  43.119961 72.293015 60.608482
287 287 1  48.177490 43.414928 47.511589
288 288 1  11.680018 67.876396 58.021519
289 289 1  43.415501 52.816284 23.672758
290 290 1  57.759678 51.625793 46.749638
291 291 1  48.608356 43.009998 22.927790
292 292 1  65.768967 49.110180 57.790279
293 293 1  61.268555 57.807606 70.327614
294 294 1  39.328106 64.214737 55.032616
295 295 1  48.332237 53.341579 33.495052
296 296 1  67.439133 29.650406 58.444393
297 297 1  49.943745 42.868286 33.307499
298 298 1  40.748394 59.281506 57.979378
299 299 1  41.740643 74.593224 44.963768
300 300 1  71.658157 51.604458 56.076408
301 301 1  65.103073 30.120304 35.820210
302 302 1  36.079960 63.231388 60.938602
303 303 1  60.641968 39.210682 31.241106
304 304 1  52.539528 64.049469 31.599745
305 305 1  45.235733 41.595970 41.223610
306 306 1  58.585178 56.805759 66.545479
307 307 1  68.010895 74.277451 48.300034
308 308 1  72.668701 60.922653 56.235504
